Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.6301499135569683
75% Corpus,6,0.9099999999999999,symmetric,0.6557014205541293
75% Corpus,6,symmetric,0.01,0.6800915825033513
75% Corpus,6,symmetric,0.31,0.6630165470860799
75% Corpus,6,symmetric,0.61,0.6431050569749177
75% Corpus,6,symmetric,0.9099999999999999,0.6346384263030972
75% Corpus,6,symmetric,symmetric,0.6660068751633567
75% Corpus,6,asymmetric,0.01,0.720238755782881
75% Corpus,6,asymmetric,0.31,0.7082981673813201
75% Corpus,6,asymmetric,0.61,0.6469061552493774
75% Corpus,6,asymmetric,0.9099999999999999,0.683036740865413
75% Corpus,6,asymmetric,symmetric,0.6779508394533482
75% Corpus,7,0.01,0.01,0.6538924322380014
75% Corpus,7,0.01,0.31,0.6567036406050409
75% Corpus,7,0.01,0.61,0.6187918986056469
75% Corpus,7,0.01,0.9099999999999999,0.5870556216576093
75% Corpus,7,0.01,symmetric,0.6689391786684801
75% Corpus,7,0.31,0.01,0.6465609494915928
75% Corpus,7,0.31,0.31,0.6313688333070248
75% Corpus,7,0.31,0.61,0.6162961904772268
75% Corpus,7,0.31,0.9099999999999999,0.5693221815288635
75% Corpus,7,0.31,symmetric,0.6153566960697356
75% Corpus,7,0.61,0.01,0.6871730309436835
75% Corpus,7,0.61,0.31,0.6635803040268472
75% Corpus,7,0.61,0.61,0.6307205131820891
75% Corpus,7,0.61,0.9099999999999999,0.5951007637428019
75% Corpus,7,0.61,symmetric,0.6744461045811784
75% Corpus,7,0.9099999999999999,0.01,0.6370343158788673
75% Corpus,7,0.9099999999999999,0.31,0.6426569629225868
75% Corpus,7,0.9099999999999999,0.61,0.629797764111456
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.6287702039386863
75% Corpus,7,0.9099999999999999,symmetric,0.6640521808662029
75% Corpus,7,symmetric,0.01,0.6456205774936646
75% Corpus,7,symmetric,0.31,0.6410464513454904
75% Corpus,7,symmetric,0.61,0.6104836373042828
75% Corpus,7,symmetric,0.9099999999999999,0.5954777061488642
